"Species","Longitude","Latitude"
"rattus",80.8,7.4
"rattus",80.16666667,6.85
"rattus",80.93333333,6.966666667
"rattus",80.95,6.783333333
"rattus",80.36666667,7.266666667
"rattus",80.5,8.333333333
"rattus",80.2,6.05
"rattus",80.83333333,6.85
"rattus",80.63333333,7.283333333
"rattus",81.23333333,8.566666667
"rattus",93.96666667,26.51666667
"rattus",95.66666667,27.83333333
"rattus",93.93333333,24.63333333
"rattus",93.55,24.96666667
"rattus",92.71666667,23.73333333
"rattus",92.73333333,22.88333333
"rattus",79.5,29.83333333
"rattus",88.25,26.75
"rattus",88.4,27.06666667
"rattus",88.26666667,27.01666667
"rattus",85.35,27.66666667
"rattus",85.41666667,27.75
"rattus",85.51666667,27.7
"rattus",85.18333333,27.68333333
"rattus",72.81666667,18.96666667
"rattus",80.28333333,13.08333333
"rattus",88.41666667,22.53333333
"rattus",63.46666667,25.25
"rattus",74.4,31.51666667
"rattus",67.05,24.86666667
"rattus",76.91666667,8.483333333
"rattus",76.21666667,10.51666667
"rattus",96.23333333,28.01666667
"rattus",93.83333333,24.55
"rattus",85.46666667,27.85
"rattus",86.78333333,27.96666667
"rattus",74.68333333,36.31666667
"rattus",74.5,35.75
"rattus",75.73333333,35.41666667
"rattus",76.13333333,32.56666667
"rattus",77.1,31.96666667
"rattus",77.83333333,27.01666667
"rattus",86.75,27.78333333
"rattus",86.71666667,27.81666667
"rattus",83.7,28.78333333
"rattus",85.93333333,27.95
"rattus",72.25,36.25
"rattus",72.5,35.58333333
"rattus",73.41666667,33.91666667
"rattus",77.16666667,31.1
"rattus",74.1,33.76666667
"rattus",75.76666667,33.31666667
"rattus",90.382,23.719
"rattus",89.669,27.44
"rattus",89.899,27.488
"rattus",78.35,19.1
"rattus",78.76666667,19.36666667
"rattus",77.41666667,14.55
"rattus",77.63333333,15.11666667
"rattus",78.16666667,14.11666667
"rattus",79.31666667,13.58333333
"rattus",79.48333333,13.73333333
"rattus",79.41666667,13.65
"rattus",79.35,13.96666667
"rattus",83.75,18.6
"rattus",82.01666667,17.48333333
"rattus",82.21666667,16.93333333
"rattus",80.25,16.41666667
"rattus",79.43333333,16.48333333
"rattus",80.35,16.58333333
"rattus",78.46666667,17.25
"rattus",78.46666667,17.36666667
"rattus",78.93333333,18.8
"rattus",79.66666667,18.65
"rattus",81.2,16.56666667
"rattus",78.58333333,15.88333333
"rattus",78.81666667,15.96666667
"rattus",78.9,16.05
"rattus",78.83333333,16.46666667
"rattus",78.68333333,16.28333333
"rattus",78.76666667,16.36666667
"rattus",78.25,17.75
"rattus",78.08333333,17.61666667
"rattus",78.93333333,16.7
"rattus",79.21666667,16.5
"rattus",79.95,13.81666667
"rattus",79.98333333,14.13333333
"rattus",79.98333333,14.91666667
"rattus",80.01666667,13.7
"rattus",80.03333333,13.58333333
"rattus",79.11666667,15.56666667
"rattus",78.88333333,15.38333333
"rattus",79.46666667,19.15
"rattus",82.86666667,18.33333333
"rattus",80.16666667,18.2
"rattus",72.81666667,23.16666667
"rattus",72.16666667,24.25
"rattus",72.43333333,24.16666667
"rattus",73.68333333,20.75
"rattus",69.66666667,23.26666667
"rattus",70.33333333,21.25
"rattus",70.6,21.16666667
"rattus",75.58333333,25.73333333
"rattus",73.26666667,21.05
"rattus",71.46666667,22.98333333
"rattus",80.35,26.5
"rattus",65.899,27.594
